"movieID","title","year","rating"
2000,"Miss Jerry",1894,5.6
2001,"The Corbett-Fitzsimmons Fight",1897,5.6
2002,"Soldiers of the Cross",1900,6.7
2003,"Bohemios",1905,4.7
2004,"The Story of the Kelly Gang",1906,5.3
2005,"Robbery Under Arms",1907,5.5
2006,"Hamlet",1908,5.0
2007,"Don Quijote",1908,5.9
2008,"Don Álvaro o la fuerza del sino",1908,6.8
2009,"The Fairylogue and Radio-Plays",1908,6.2
2010,"El pastorcito de Torrente",1908,5.6
2011,"Andreas Hofer",1909,5.4
2012,"El blocao Velarde",1909,4.5
2013,"La bocana de Mar Chica",1909,5.1
2014,"A Cultura do Cacau",1909,5.0
2015,"De Garraf a Barcelona",1909,6.8
2016,"Un día en Xochimilco",1909,5.4
2017,"Los dos hermanos",1909,6.1
2018,"Fabricación del corcho en Sant Feliu de Guixols",1909,6.2
2019,"Faldgruben",1909,7.1
2020,"Fiesta de toros",1909,5.4
2021,"Fiestas de Santa Lucía - Belenes",1909,8.7
2022,"Fiestas en La Garriga",1909,4.8
2023,"Gira política de Madero y Pino Suárez",1909,6.3
2024,"Hamlet, Prince of Denmark",1910,6.3
2025,"Cycle Rider and the Witch",1909,5.6
2026,"Locura de amor",1909,5.1
2027,"Lægens offer",1909,7.0
2028,"Melilla y el Gurugu",1909,5.8
2029,"Niños en la alameda",1909,5.9
2030,"De onde Veje",1909,5.8
2031,"La primera y segunda casetas",1909,6.7
2032,"Protección de un convoy de víveres en el puente de camellos",1909,5.4
2033,"Salome Mad",1909,5.5
2034,"Sherlock Holmes VI",1910,4.7
2035,"Smith's Knockabout Theatre",1909,5.6
2036,"Le songe d'une nuit d'été",1909,6.0
2037,"Gøngehøvdingen",1909,4.8
2038,"El sueño milagroso",1909,5.9
2039,"O Terremoto de Benavente",1909,5.6
2040,"Toma caseta Z",1909,6.3
2041,"Toma del Gurugu",1909,6.9
2042,"Two of the Boys",1909,6.6
2043,"La vida en el campamento",1909,6.6
2044,"Viernes de dolores",1909,5.8
2045,"Abraham Lincoln's Clemency",1910,8.1
2046,"L'aluminite",1910,6.4
2047,"Amleto",1910,6.9
2048,"Amor gitano",1910,6.4
2049,"Ansigttyven I",1910,5.9
2050,"Ansigttyven II",1910,4.8
2051,"The Red Inn",1910,5.0
2052,"The Butterfly",1910,5.3
2053,"By Order of Napoleon",1910,5.4
2054,"O Centenário da Guerra Peninsular",1910,6.6
2055,"The Connecticut Yankee",1910,6.4
2056,"Corrida da Rampa",1910,8.2
2057,"Camille",1912,5.6
2058,"Desfile histórico del centenario",1910,6.3
2059,"Don Juan de Serrallonga",1910,6.8
2060,"Dorothy and the Scarecrow in Oz",1910,5.3
2061,"Excursión al Gombreny",1910,5.1
2062,"Gentleman Joe",1910,5.7
2064,"His Brother's Wife",1910,5.8
2065,"The White Slave Trade",1910,6.0
2066,"Kapergasten",1910,8.2
2067,"The Life of Moses",1909,4.8
2068,"A Night in May",1910,6.3
2069,"Jarní sen starého mládence",1913,6.1
2070,"Orientalsk dans",1910,6.3
2071,"Paganini",1910,1.5
2072,"Peder Tordenskjold",1910,5.5
2073,"A Pesca do Bacalhau",1910,6.6
2074,"El pobre Valbuena",1910,5.0
2075,"Un portero modelo",1910,5.7
2076,"Rainha Depois de Morta Inês de Castro",1910,7.5
2077,"A Record Hustle Through Foggy London",1910,6.0
2078,"En rekrut fra 64",1910,7.3
2079,"Revolução de 5 de Outubro",1910,5.5
2080,"Le roi des parfums",1910,6.4
2081,"Trail to the West",1910,6.6
2082,"Valdemar Sejr",1910,5.0
2083,"As Últimas Inundações do Tejo em Santarém",1910,7.8
2084,"Amor fatal",1911,5.3
2085,"As in a Looking Glass",1911,4.9
2086,"A Balkan Episode",1911,7.7
2087,"The Battle of Trafalgar",1911,6.5
2088,"The Brand",1911,6.8
2089,"En bryllupsaften",1911,6.2
2090,"The Bushranger's Bride",1911,5.4
2091,"Captain Starlight, or Gentleman of the Road",1911,6.3
2092,"Cortejo Cívico",1911,5.7
2093,"The Daddy's Dream",1911,6.8
2094,"A Dog's Tale",1911,7.0
2095,"Don Pedro el Cruel",1911,6.4
2096,"Ekspeditricen",1911,4.2
2097,"El fantasma del castillo",1911,5.0
2098,"Den farlige leg",1911,3.9
2099,"The Fatal Wedding",1911,6.4
2100,"The Four Poster Pest",1911,6.5
2101,"Der fremde Vogel",1911,5.4
2102,"The Golden West",1911,5.7
2103,"The Great Moment",1911,6.2
2104,"The Infant at Snakeville",1911,5.7
2105,"Jahreszeiten des Lebens",1915,6.5
2106,"Jane Shore",1911,6.8
2107,"Julius Caesar's Sandals",1911,6.2
2108,"The Convict Hero",1911,6.7
2109,"Lucha por la herencia",1911,4.1
2110,"Madero al sur del país",1911,5.3
2111,"Menneskedyret",1911,6.3
2112,"Midsummer Tide",1911,5.1
2113,"The Miner's Curse",1911,7.2
2114,"Les Misérables, Part 1: Jean Valjean",1913,5.0
2115,"The Mystery of a Hansom Cab",1911,3.6
2116,"Oedipus Rex",1911,6.6
2117,"Par habitude",1911,2.9
2118,"Skæbnebæltet",1911,5.9
2119,"Den sorte drøm",1911,5.8
2120,"Sport Hípico",1911,6.7
2121,"Nell Gwynne",1911,6.1
2122,"The Devil's Assistant",1913,4.8
2123,"Temblor de 1911 en México",1911,5.0
2124,"The Traitress",1911,6.8
2125,"Vicio y virtud",1911,5.0
2126,"Zwei Frauen",1911,7.1
2127,"L'électrocuté",1911,5.5
2128,"The Adventures of Lieutenant Petrosino",1912,6.1
2129,"The Alaska-Siberian Expedition",1912,6.6
2130,"Amor de bestia",1912,8.1
2131,"Anfisa",1912,6.1
2132,"Anny - Story of a Prostitute",1912,6.4
2133,"As You Like It",1912,5.2
2134,"Atop of the World in Motion",1912,4.6
2135,"Le bagnard",1912,6.3
2136,"La Barrera número 13",1913,5.0
2137,"A Batalha",1912,5.3
2138,"Bernáték kikocsiznak",1912,6.8
2139,"Carlota Angela",1912,5.2
2140,"Carmen",1912,6.0
2141,"Charles IV",1912,4.2
2142,"Cleopatra",1912,6.5
2143,"The Clod",1912,7.0
2144,"The Colonel's Son",1912,6.2
2145,"Concurso Hípico no Porto",1912,2.1
2146,"La conspiration des drapeaux",1912,8.1
2147,"The Crime and the Criminal",1912,6.7
2148,"Dante's Inferno",1911,7.8
2149,"A Dança dos Apaches",1912,7.4
2150,"Do Men Love Women?",1912,7.4
2151,"Dødskysset",1915,8.0
2152,"The Great Circus Catastrophe",1912,7.2
2153,"Eclipse de sol",1912,7.0
2154,"Der Eid des Stephan Huller",1912,7.1
2155,"Episódios da Terrível Explosão de Bombas no Porto",1912,6.7
2156,"When Honor Calls",1913,5.5
2157,"Excursión a San Lorenzo de Munt",1912,7.0
2158,"Fiesta colombófila en el Tibidabo",1912,4.8
2159,"The Flying Circus",1912,7.0
2160,"For Freedom of Cuba",1912,4.0
2161,"From the Manger to the Cross; or, Jesus of Nazareth",1912,7.5
2162,"Den glade løjtnant",1912,6.4
2163,"Grannie",1912,9.3
2164,"Her Own Money",1914,7.8
2165,"Herod",1912,6.2
2166,"Il y a des pieds au plafond",1912,8.6
2167,"De industrieel van Pont Avesnes",1912,6.8
2168,"Judith",1912,5.5
2169,"Leiria",1912,5.1
2170,"Life of Villa",1912,5.5
2171,"El lobo de la sierra",1912,7.2
2172,"The Lust for Gold",1912,7.0
2173,"Today and Tomorrow",1912,5.8
2174,"The Might of Gold",1912,6.0
2175,"Magda",1912,6.5
2176,"The Mail Order Wife",1912,4.1
2177,"Marocco en het Vreemdelingenlegioen",1912,8.7
2178,"Maskierte Liebe",1912,5.8
2179,"The Midnight Wedding",1912,6.6
2180,"The Mighty Dollar",1912,6.8
2181,"La mort du duc d'Enghien",1912,7.6
2182,"Le nègre blanc",1912,4.4
2183,"Oliver Twist",1912,5.8
2185,"Only a Woman",1912,7.6
2186,"Madame DuBarry",1919,1.0
2187,"Paul J. Rainey's African Hunt",1912,5.2
2188,"La pierre philosophe",1912,5.0
2189,"Los Pirineos de Port-Bou a Andorra",1912,5.3
2190,"The Prodigal Daughter",1912,7.1
2191,"The Prodigal Son",1913,6.9
2192,"Quincy Adams Sawyer",1912,7.8
2193,"Quo Vadis?",1913,6.6
2194,"Race for a Life",1912,5.7
2195,"The Independence of Romania",1912,6.5
2196,"Revolución orozquista",1912,7.3
2197,"The Reward for Broncho Billy",1912,7.1
2198,"The Life and Death of King Richard III",1912,4.8
2199,"Romani, the Brigand",1912,6.0
2200,"Saty delaji cloveka",1913,6.5
2201,"Seal Hunting in Newfoundland",1912,6.5
2202,"The Sergeant's Boy",1912,6.8
2203,"The Sin of a Woman",1912,5.2
2204,"Saved in Mid-Air",1912,7.0
2205,"Talma",1912,6.7
2206,"The Tide of Death",1912,6.9
2207,"Tropisk kærlighed",1912,6.3
2208,"The Last Bohemian",1913,6.8
2209,"Vampyrdanserinden",1912,8.5
2210,"Verkannt",1912,4.3
2211,"Wenn die Maske fällt",1912,5.9
2212,"Zona de Incursões em Chaves",1912,5.6
2213,"Zu Tode gehetzt",1912,7.6
2214,"Zu spät",1912,6.3
2215,"'Neath Austral Skies",1913,5.4
2216,"...denn alle Schuld rächt sich auf Erden",1913,7.8
2217,"The Secret of Adrianople",1913,6.7
2218,"The Adventures of Kathlyn",1913,6.4
2219,"El amigo del alma",1913,3.2
2220,"Ana Kadova",1913,5.0
2221,"Der Andere",1913,6.0
2222,"Arizona",1913,7.0
2223,"Arvingen til Skjoldborg",1914,6.5
2224,"Atlantis",1913,3.3
2225,"Old Brandis' Eyes",1913,8.6
2226,"Australia Calls",1913,8.9
2227,"Barbarous Mexico",1913,7.2
2228,"Barcelona bajo la nieve",1913,7.1
2229,"The Bartered Bride",1913,7.2
2230,"The Battle of Gettysburg",1913,7.1
2231,"The Battle of Shiloh",1913,6.7
2232,"El bello Arturo",1913,6.6
2233,"Ben Bolt",1913,6.7
2234,"Bianco contro negro",1913,5.9
2235,"The Black Snake",1913,4.7
2236,"Blodets röst",1913,7.3
